dependencia_origen,clave,nombre_oficial,descripcion,tramite_o_servicio,tipos_atencion_ids
Protección civil,SPCM-DAEC-002,"Por otorgar el servicio para proporcionar ambulancia en eventos masivos, organizados por particulares con fines de lucro, por hora.",Servicio brindado a Las personas que soliciten el servicio de ambulancia para eventos masivos organizados por particulares con fines de lucro,TRUE,0
Protección civil,SPCM-DAEC-003,"Por otorgar el servicio de poda de árboles en el interior o exterior de domicilios particulares, previa autorización y por motivo de riesgo","Las personas que soliciten el servicio para poda de árboles en el interior o exterior de domicilios particulares, previa autorización y por motivo de riesgo",TRUE,0
Protección civil,SPCM-DAEC-004,"Por otorgar el servicio de derribo de árboles en el interior o exterior de domicilios particulares, previa autorización y por motivo de riesgo","Las personas que soliciten el servicio derribo de árboles en el interior o exterior de domicilios particulares, previa autorización y por motivo de riesgo, expedido por la autoridad competente",TRUE,0
TESORERÍA,TM-CGPF-001,Expedición de Constancia de no Adeudo Fiscal.,Es el documento mediante el cual se certifica que el ciudadano no cuenta con adeudos pendientes ante las dependencias y entidades del Gobierno Municipal.,TRUE,0
TESORERÍA,TM-CGPF-002,Permiso para el Ejercicio del Comercio en Vía Pública.,"Es el otorgamiento del permiso para ejercer el comercio en la vía pública en cualquiera de sus modalidades, dando preferencia a las personas con capacidades diferentes, personas de la tercera edad, personas de escasos recursos.",TRUE,0
TESORERÍA,TM-CGPF-003,Elaboración de planos topográficos.,"Es el proceso mediante el cual se verifican las medidas y colindancias de un Predio, en la cual el Contribuyente indica los puntos de referencia para emitir mediante un plano a escala las características.",TRUE,0
TESORERÍA,TM-CGPF-004,Actualización de Predios,"Es el proceso mediante el cual se revisa y corrigen los datos técnicos de un predio, tales como: corrección área, situación del predio, cambios de propietario, nuevas construcciones.",TRUE,0
TESORERÍA,TM-CGPF-005,Avalúo municipal,Es el proceso que conlleva a la emisión del documento para poder realizar todo acto traslativo de dominio de las colonias en regularización con los Institutos de Regularización de la Tenencia de la tierra.,TRUE,0
TESORERÍA,TM-CGPF-006,Traslación de dominio de bienes inmuebles,"Es objeto de este Impuesto, la Traslación o Adquisición de Bienes Inmuebles que consistan en el suelo y las construcciones adheridas en él, ubicadas en el Municipio de Tuxtla Gutiérrez, así como los derechos relacionados con los mismos. Se entiende por Traslación o Adquisición la que se derive de : Todo acto por el que se traslade o adquiera la propiedad, incluyendo la donación, la compraventa, la promesa, la cesión de derechos, la fusión, la encisión o liquidación de sociedades y asociaciones, la constitución del usufructos, traslación de este o de la nuda propiedad, así como la extinción del usufructo temporal; la prescripción positiva e información de dominio judicial o administrativa, etc.",TRUE,0
TESORERÍA,TM-CGPF-007,Corrección de datos en el padrón inmobiliario,"Actualización, modificación o corrección de la información registrada en el padrón inmobiliario, cuando existan errores, inconsistencias o cambios en los datos del inmueble o del propietario.",TRUE,0
SEC SALUD,SS-DCDM-001,Atención Psicologica,"Es el servicio profesional que brinda orientación, evaluación, diagnóstico y acompañamiento emocional a las personas que presentan dificultades psicológicas, emocionales o conductuales, con el objetivo de mejorar su bienestar mental y calidad de vida.",TRUE,0
SEC SALUD,SS-DCDM-002,Amalgama,"Es el procedimiento odontológico mediante el cual se realiza la restauración de piezas dentales afectadas por caries u otros daños, utilizando como material principal la amalgama dental, con el propósito de recuperar la forma, función y resistencia del diente.",TRUE,0
SEC SALUD,SS-DCDM-003,Aplicación de venoclisis,"Procedimiento mediante el cual se administra soluciones líquidas, medicamentos o nutrientes directamente al torrente sanguíneo a través de una vía intravenosa, con el objetivo de restablecer el equilibrio de líquidos, electrolitos o suministrar tratamiento de manera rápida y efectiva.",TRUE,0
SEC SALUD,SS-DCDM-004,Extracciones,"procedimiento odontológico mediante el cual se realiza la remoción de una pieza dental de su alveolo en el hueso maxilar o mandibular, cuando esta presenta daño irreversible, infección, enfermedad periodontal avanzada, fractura o cualquier condición que impida su conservación.",TRUE,0
SEC SALUD,SS-DCDM-005,Aplicación de Dispositivo intrauterino,"Procedimiento médico mediante el cual se coloca un dispositivo intrauterino (DIU) dentro del útero de la mujer, con el objetivo de prevenir el embarazo de manera segura, eficaz y de larga duración.",TRUE,0
SEC SALUD,SS-DCDM-006,Consulta odontológica,"Es el servicio de atención profesional que brinda el personal odontológico para la evaluación, diagnóstico y orientación en materia de salud bucal, con el objetivo de prevenir, detectar y tratar enfermedades o padecimientos dentales.",TRUE,0
SEC SALUD,SS-DCDM-007,Profilaxis,"Es el procedimiento odontológico preventivo que consiste en la limpieza profesional de los dientes, con el objetivo de eliminar la placa bacteriana, el sarro (cálculo dental) y las manchas superficiales, contribuyendo a mantener una adecuada salud bucal.",TRUE,0
SEC SALUD,SS-DCDM-008,Retiro de Puntos,"Es el procedimiento médico mediante el cual se retiran las suturas colocadas previamente para el cierre de heridas, una vez que el proceso de cicatrización ha avanzado de manera adecuada.",TRUE,0
SEC SALUD,SS-DCDM-009,Conización cervical,"Es el procedimiento médico-quirúrgico mediante el cual se extirpa una porción en forma de cono del cuello uterino (cérvix), con el objetivo de diagnosticar y/o tratar lesiones anormales, como displasias cervicales o lesiones precancerosas detectadas en estudios previos.",TRUE,0
SEC SALUD,SS-DCDM-010,Consulta Ginecologica,"Es el servicio médico especializado que brinda atención integral a la mujer para la prevención, diagnóstico y tratamiento de padecimientos relacionados con el sistema reproductor femenino.",TRUE,0
SEC SALUD,SS-DCDM-011,Papanicolaou,"Es el estudio citológico que se realiza para la detección oportuna de alteraciones en las células del cuello uterino, con el objetivo de identificar lesiones precancerosas o cáncer cervicouterino en etapas tempranas.",TRUE,0
SEC SALUD,SS-DCDM-012,Electrofulguración,"Es el procedimiento médico que utiliza corriente eléctrica de alta frecuencia para destruir, cauterizar o eliminar tejido anormal en la piel o mucosas, con fines terapéuticos o preventivos.",TRUE,0
SEC SALUD,SS-DCDM-013,Colposcopia,"Es el procedimiento médico especializado que permite la observación detallada del cuello uterino, la vagina y la vulva mediante el uso de un equipo óptico llamado colposcopio, con el objetivo de detectar lesiones, infecciones o alteraciones celulares.",TRUE,0
